player_id,player_name,position,element_type,gameweek,fixture,team_name,team_short,opponent_name,opponent_short,was_home,points,minutes,goals_scored,assists,clean_sheets,bonus,goals_conceded,saves,yellow_cards,red_cards,own_goals,penalties_saved,penalties_missed,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,bps,tackles,clearances_blocks_interceptions,recoveries,goals_vs_xg,assists_vs_xa,ict_per_90,points_last_3gw,points_last_5gw,minutes_last_3gw,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,team_form_last_3gw,fixture_difficulty,strength_overall_home_player_team,strength_overall_away_player_team,strength_attack_home_player_team,strength_attack_away_player_team,strength_defence_home_opponent,strength_defence_away_opponent,now_cost,selected,transfers_in,transfers_out,transfers_balance
1,Raya,GK,1,1,9,Arsenal,ARS,Man Utd,MUN,False,10,90,0,0,1,3,0,7,1,0,0,0,0,0.0,0.0,0.0,1.52,49.2,0.0,0.0,4.9,38,0,1,13,0.0,0.0,4.9,10.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,71.0,1140,1320,1325,1350,1350,1100,1140,57,1531911,0,0,0
1,Raya,GK,1,2,11,Arsenal,ARS,Leeds,LEE,True,6,90,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.17,13.4,0.0,0.0,1.3,28,0,0,3,0.0,0.0,1.3,8.0,8.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,82.5,1050,1320,1325,1350,1350,1050,1100,57,2284634,277339,58680,218659
1,Raya,GK,1,3,25,Arsenal,ARS,Liverpool,LIV,False,2,90,0,0,0,0,1,2,0,0,0,0,0,0.0,0.02,0.02,0.52,20.0,10.0,0.0,3.0,12,0,0,12,0.0,-0.02,3.0,6.0,6.0,90.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,2.0,1.0,64.33333333333333,1380,1320,1325,1350,1350,1380,1380,57,2406964,146739,159050,-12311
1,Raya,GK,1,4,31,Arsenal,ARS,Nott'm Forest,NFO,True,6,90,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.2,12.8,0.0,0.0,1.3,24,0,0,9,0.0,0.0,1.3,4.666666666666667,6.0,90.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,2.0,0.0,67.33333333333333,1180,1320,1325,1350,1350,1180,1180,57,2765759,289041,117752,171289
1,Raya,GK,1,5,41,Arsenal,ARS,Man City,MCI,True,2,90,0,0,0,0,1,2,0,0,0,0,0,0.0,0.01,0.01,0.89,21.4,0.0,0.0,2.1,13,0,1,6,0.0,-0.01,2.1,3.3333333333333335,5.2,90.0,0.0,0.0,0.0,0.01,0.01,1.0,0.0,47.333333333333336,1300,1320,1325,1350,1350,1300,1380,57,2762632,98100,107886,-9786
1,Raya,GK,1,6,58,Arsenal,ARS,Newcastle,NEW,False,2,90,0,0,0,0,1,2,0,0,0,0,0,0.0,0.01,0.01,0.61,15.8,0.0,0.0,1.6,11,0,2,10,0.0,-0.01,1.6,3.3333333333333335,3.6,90.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,1.0,0.0,55.0,1320,1320,1325,1350,1350,1240,1320,57,3029654,357846,130595,227251
1,Raya,GK,1,7,61,Arsenal,ARS,West Ham,WHU,True,6,90,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.49,3.2,0.0,0.0,0.3,20,0,0,8,0.0,0.0,0.3,3.3333333333333335,3.6,90.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,1.0,0.0,53.666666666666664,1100,1320,1325,1350,1350,1100,1100,57,3297838,287510,75195,212315
2,Arrizabalaga,GK,1,1,9,Arsenal,ARS,Man Utd,MUN,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1140,1320,1325,1350,1350,1100,1140,43,90618,0,0,0
2,Arrizabalaga,GK,1,2,11,Arsenal,ARS,Leeds,LEE,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,1050,1320,1325,1350,1350,1050,1100,43,89793,2130,11964,-9834
2,Arrizabalaga,GK,1,3,25,Arsenal,ARS,Liverpool,LIV,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.33333333333333,1380,1320,1325,1350,1350,1380,1380,43,81016,1131,12706,-11575
