position,now_cost,points_last_3gw,points_last_5gw,minutes_last_3gw,minutes_percentage_last_3,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,ict_last_3gw,goals_per_90,points_std_last_5gw,points_trend,next_was_home,next_fixture_difficulty,next_opp_def_strength,strength_attack_home_player_team,strength_attack_away_player_team,transfers_balance,target_points,player_id,player_name,gameweek
GK,57,10.0,10.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.9,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,218659,2.0,1,Raya,2
GK,57,8.0,8.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,3.1,0.0,2.8284271247461903,0.0,True,1180.0,1180.0,1350,1350,-12311,6.0,1,Raya,3
GK,57,6.0,6.0,90.0,100.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,2.0,1.0,3.0666666666666664,0.0,4.0,-3.999999999999999,True,1300.0,1300.0,1350,1350,171289,2.0,1,Raya,4
GK,57,4.666666666666667,6.0,90.0,100.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,2.0,0.0,1.8666666666666665,0.0,3.265986323710904,-6.101050743774365e-16,False,1320.0,1240.0,1350,1350,-9786,2.0,1,Raya,5
GK,57,3.3333333333333335,5.2,90.0,100.0,0.0,0.0,0.0,0.01,0.01,1.0,0.0,2.1333333333333333,0.0,3.3466401061363023,8.15422203962584e-16,True,1100.0,1100.0,1350,1350,227251,6.0,1,Raya,6
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-9834,0.0,2,Arrizabalaga,2
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180.0,1180.0,1350,1350,-11575,0.0,2,Arrizabalaga,3
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1300.0,1300.0,1350,1350,-6913,0.0,2,Arrizabalaga,4
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1320.0,1240.0,1350,1350,-5570,0.0,2,Arrizabalaga,5
GK,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1100.0,1100.0,1350,1350,-4229,0.0,2,Arrizabalaga,6
